Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"When The Sun Goes Down","Nothing Ends","When The Sun Goes Down","Favorite Songs","Favorite","QZDA62170552","4bRuI6FrAlL2hoYb5yr5pC"
"We'll (Never) Meet Again","Nothing Ends","We'll (Never) Meet Again","Favorite Songs","Favorite","QZHN62003658","16qQNgTINx7FH226wVRbMT"
"Am I Wrong","Nico & Vinz","Black Star Elephant","Favorite Songs","Favorite","USWB11304681","1fidCEsYlaVE3pHwKCvpFZ"
"生きていたんだよな","Aimyon","青春のエキサイトメント","Favorite Songs","Favorite","JPWP01671360","69jrtjVjyzRyPCDg0dHYCX"
"Older","Alec Benjamin","Older","Favorite Songs","Favorite","USAT22104490","4qeHV9T5N3S7KAKryZQp8s"
"All Time Low","Jon Bellion","The Human Condition","Favorite Songs","Favorite","USUM71603666","1CnPYaKxTVb4LWOtiGOm0m"
"Wildest Dreams (Taylor's Version)","Taylor Swift","Wildest Dreams (Taylor's Version)","Favorite Songs","Favorite","USUG12103658","1Ov37jtRQ2YNAe8HzfczkL"
"CHASING THE SUN","Enrique Iglesias","FINAL (Vol.1)","Favorite Songs","Favorite","USRC12102485","4ld5JAPiiU0O4smQ0j4pAd"
"TE FUISTE","Enrique Iglesias","FINAL (Vol.1)","Favorite Songs","Favorite","USRC12102577","0qV3ZLVDdRisXy3cbhZLQW"
"PENDEJO","Enrique Iglesias","FINAL (Vol.1)","Favorite Songs","Favorite","USRC12101318","5cy2dREJqJAyf3CNr509W7"
"UNWELL","Enrique Iglesias","FINAL (Vol.1)","Favorite Songs","Favorite","USRC12102488","0ij0AE5oRlXQszfywsEJ0l"
"ALL ABOUT YOU","Enrique Iglesias","FINAL (Vol.1)","Favorite Songs","Favorite","USRC12102487","011bGIxQEalfjuO7hWP3iN"
"Shivers","Ed Sheeran","Shivers","Favorite Songs","Favorite","GBAHS2100671","6bQfNiqyCX7UaQSvVVGo4I"
"Bleeding Love","Leona Lewis","Spirit","Favorite Songs","Favorite","GBHMU0700049","7wZUrN8oemZfsEd1CGkbXE"
"Ho Hey","The Lumineers","The Lumineers (Deluxe Edition)","Favorite Songs","Favorite","USDMG1260805","1K3LRUEcUz5FMtPYyg0F45"
"Arcadia","Lana Del Rey","Arcadia","Favorite Songs","Favorite","GBUM72104276","5mqVdt50q0fYvyz3gd6eKe"
"Sleeping town (feat. yama)","whaledontsleep","Sleeping town (feat. yama)","Favorite Songs","Favorite","TCJPJ1996962","4stXGLRnyZJvSvobc0pt7W"
"EYE","Kanaria","EYE","Favorite Songs","Favorite","TCJPP2128443","1CQ2OTb1x5M3UyCwbGHnXD"
"Issues","Julia Michaels","Nervous System","Favorite Songs","Favorite","USUM71615691","0xG0SHshCStMEyNbNC5d4k"
"Overwhelmed (Ryan Mack Remix)","Ryan Mack","Overwhelmed (Ryan Mack Remix)","Favorite Songs","Favorite","IERZR2100004","3EmBn7AWEv5DETtMba53G2"
"グッバイ宣言","Raon","グッバイ宣言","Favorite Songs","Favorite","QZGWX2172131","1Y3QSfcVZJA2B6priwUs1i"
"Walking Away","Chelsea Cutler","Walking Away","Favorite Songs","Favorite","USUG12103141","3VVLOvm3AV7quKn7gN9szx"
"ME PASE","Enrique Iglesias","ME PASE","Favorite Songs","Favorite","USRC12101320","4JgSGk8yY0hQE9aENUSqVm"
"REFLECT","Gawr Gura","REFLECT","Favorite Songs","Favorite","JPV752104723","0B96zn11fA3apNGZqERmPO"
"エプロンボーイ (Anime ver.)","DJ Misoshiru & MC Gohan","エプロンボーイ (Anime ver.)","Favorite Songs","Favorite","JPU901800002","5yPkcspHX5v8xToBtoW4Xk"
"キセキ結び","天音かなた","キセキ結び","Favorite Songs","Favorite","JPV752104732","5O3zXdlwLUhMzYtJMQJEZ3"
"Bad Habits","Ed Sheeran","Bad Habits","Favorite Songs","Favorite","GBAHS2100318","6PQ88X9TkUIAUIZJHW2upE"
"Love You in My Mind","Brynn","Based on a True Story","Favorite Songs","Favorite","USAT22101503","3tAsY2NU5gRPdYExMhhyvT"
"Gone","Chiiild","Gone","Favorite Songs","Favorite","USUM72105228","7eRaK8LJUUgStuF29HpNsQ"
"Alugalug Cat","The Kiffness","Alugalug Cat","Favorite Songs","Favorite","QZHN72150827","1aieLcywOSaOSVL55j2cYS"
"Keep Ya Head Up - (Explicit)","2Pac","The Best Of 2Pac","Favorite Songs","Favorite","USIR19500813","2edHLAq1YJRNFdqzBUfYWk"
"Soldier","Fleurie","Love and War","Favorite Songs","Favorite","TCACM1667377","1gzXHWAGYKbaHubERNp0Ox"
"Far From Home (The Raven)","Sam Tinnesz","Far From Home (The Raven)","Favorite Songs","Favorite","QM24S1809229","4kH98W7Wqeycg6CzrrX8JP"
"Feeling Good","Michael Bublé","It's Time","Favorite Songs","Favorite","USRE10401889","1AM8QdDFZMq6SrrqUnuQ9P"
"Text Book","Lana Del Rey","Text Book","Favorite Songs","Favorite","GBUM72103011","50J98YfyIUVLWbXoQZambN"
"ENVY BABY","Kanaria","ENVY BABY","Favorite Songs","Favorite","JPX562100152","7rPKtXBW35rSQH1i6QAvyk"
"If You're Meant To Come Back","Justin Jesso","If You're Meant To Come Back","Favorite Songs","Favorite","DEE862000458","6Nukn6WojFMJN6506TZoGV"
"How to Be Me","Ren","How to Be Me","Favorite Songs","Favorite","NL1AP1986879","1Ec6reYdkNaqRWPDsbErxl"
"Shallow","Carys Selvey","Shallow","Favorite Songs","Favorite","GBLFP1646435","1B324uuKfid3CinagoUr7z"
"The Way You Felt","Alec Benjamin","The Way You Felt","Favorite Songs","Favorite","USAT22101715","6XdHZr9iXdqc4Q76wtgbqr"
"PACK IT UP BOY","City Girl","C-GIRL","Favorite Songs","Favorite","QZES62185382","2LDlF2wnoJIs9pTiGKf3W3"
"もぐもぐYUMMY！","猫又おかゆ","もぐもぐYUMMY！","Favorite Songs","Favorite","JPV752004057","5u1D5cZgbEPioXPVlRQkrq"
"MIRA","Kanaria","MIRA","Favorite Songs","Favorite","JPX562100161","7vgV4fH2MbMH9rrcfkCOIz"
"SugarCrash!","ElyOtto","SugarCrash!","Favorite Songs","Favorite","TCAFB2092742","2ePtv8MlBO9nuuXABqAfEX"
"when the party's over - Recorded at Spotify Studios NYC","Lewis Capaldi","Spotify Singles","Favorite Songs","Favorite","DEUM71902596","6H7fWtwEUHVfTyZD7zeG4w"
"Here with Me","Susie Suh","Here with Me","Favorite Songs","Favorite","USQY51471517","6IF2P93LkyW4GqDQu1yS7H"
"Citizens","Alice Russell","To Dust","Favorite Songs","Favorite","FR9W11211877","23kJoeGdRmn1OG15XIlRRI"
"Thank You","Dido","No Angel","Favorite Songs","Favorite","USAR19900870","3yUcJwYu7fXAfqMj9krY6l"
"summertime","cinnamons","summertime","Favorite Songs","Favorite","TCJPF1793843","1oKoTnf5bERKjEiobXAuyN"
"Bubbly","Colbie Caillat","Coco","Favorite Songs","Favorite","USUM70736197","1lkvpmrCaXK8QtliFDcHBO"
"Time","Tom Waits","Rain Dogs","Favorite Songs","Favorite","USIR28500399","65TIlSzHRK25EE5P972aYG"
"We've Never Met but Can We Have a Cup of Coffee or Something","In Love With a Ghost","Let's Go","Favorite Songs","Favorite","GB-SMU-26-29433","5cvbog6wen3r3bBbcwL16U"
"KING","Kanaria","KING","Favorite Songs","Favorite","JPX562000062","1y70lFnhDN7rPmrl15BtPd"
"Found Myself","Taska Black","Found Myself","Favorite Songs","Favorite","NLM5S2001074","0ZkKKRuVYHqoyqeRDrAXkf"
"my heart skips when you look my way","Seerlight","my heart skips when you look my way","Favorite Songs","Favorite","QZFZ62183927","0OSDze5SVYvTtOJa7wisRH"
"Falling","Trevor Daniel","Falling","Favorite Songs","Favorite","USUYG1221109","4TnjEaWOeW0eKTKIEvJyCa"
"Lover - First Dance Remix","Taylor Swift","Lover (First Dance Remix)","Favorite Songs","Favorite","USUG11901493","2msvOEbkK50foYf9BMXr2X"
"Babylon","Sunny Riot","Babylon","Favorite Songs","Favorite","GBKPL2138577","2A0WRYvJKgVx5viwGy4RI5"
"Holy","King Princess","Make My Bed","Favorite Songs","Favorite","USSM11801304","7FVGIPgLMDChTffvG2LuHV"
"Talia","King Princess","Talia","Favorite Songs","Favorite","USSM11801302","53jbdPQBaH6WaQvW0zmGBs"
"dreamy night","LilyPichu","dreamy night","Favorite Songs","Favorite","QZK6L2016132","3NyxWuYU0s2GA6oZgDRQep"
"Still Don't Know My Name (From ""Euphoria: Season 1"" Soundtrack)","Labrinth","Euphoria (Original Score from the HBO Series)","Favorite Songs","Favorite","USQX91902507","6N22FZs2ZhPBYi3b9XPajV"
"Smile","Uncle Kracker","Happy Hour","Favorite Songs","Favorite","USAT20901972","4ZC8hXXqu2hPcDLw9QTdtQ"
"Dancing","Ray-X","Dancing","Favorite Songs","Favorite","GBMA21979836","34xLCJSfCdBPcPxZTRezwS"
"The Nights","Avicii","The Days / Nights","Favorite Songs","Favorite","CH3131340464","0ct6r3EGTcMLPtrXHDvVjc"
"Sirens","Oliver Daldry","Judas Gap","Favorite Songs","Favorite","TCADD1712388","2lz6Xa8pwE8YFSZkW9V8uu"
"Easily","Bruno Major","A Song For Every Moon","Favorite Songs","Favorite","GBKPL1674673","2k9N4caeCIJLOWwWwssrEM"
"Strong","London Grammar","If You Wait (Deluxe Version)","Favorite Songs","Favorite","GBCEN1300608","6k1I9gABiasGZiWWAosAEb"
"Call It What You Want","Taylor Swift","reputation","Favorite Songs","Favorite","USCJY1750015","1GwMQaZz6Au3QLDbjbMdme"
"Fever","Vancouver Sleep Clinic","Fever","Favorite Songs","Favorite","QM24S1922788","6WePGtZoFUOjqYFdKFwmgT"
"Meditation","Monoman","Meditation","Favorite Songs","Favorite","QZ8LD1918708","3g5WzY6ed3Ts70ipWTpxZ0"
"Wellerman","The Longest Johns","Between Wind and Water","Favorite Songs","Favorite","UKPGJ1800016","3oUuRNgyIuiqVTWLCChp3s"
"Good Days","SZA","Good Days","Favorite Songs","Favorite","USRC12004189","3YJJjQPAbDT7mGpX3WtQ9A"
"I Like (the idea of) You","Tessa Violet","Bad Ideas","Favorite Songs","Favorite","US3DF1939970","62XsUDISgorMOl0wEyTmjF"
"Fields","Winter Foe","Fields","Favorite Songs","Favorite","QZPLS2024312","7iqyCirrHCa3eW2HNLIaiN"
"ICLYA","Mokita","ICLYA","Favorite Songs","Favorite","NLF711905209","32KLV8pNI4SRyPvnaTyNVA"
"The Village","WRABEL","The Village","Favorite Songs","Favorite","USSM11706876","6epvwUINain4iSHCTWA0sj"
"Morning Coffee","Chevy","Morning Coffee","Favorite Songs","Favorite","QZK6G2021811","6zvtPVptAvY6wRbkPGLKff"
"Can I Be Him","James Arthur","Back from the Edge","Favorite Songs","Favorite","DEE861600588","0VhgEqMTNZwYL1ARDLLNCX"
"Caterpillar","Mountains of the Moon","Caterpillar","Favorite Songs","Favorite","SE3OH1726105","70DR96S83kyAsy9O1sBmES"
"Heartbeats","José González","Veneer","Favorite Songs","Favorite","SEVVX0300201","11X4Gw3T4hoktVruLgTnm1"
"Loosing Interest","timmies","Passion & Confusion","Favorite Songs","Favorite","RUB521205280","49gXK8uoqUEHgzzHdkELMh"
"like we did long ago","fcj","like we did long ago","Favorite Songs","Favorite","QZMHL2015268","4pJG3TfBQ7PusqcEWdEhjn"
"Call Me","Blondie","Atomic/Atomix","Favorite Songs","Favorite","USCH38900008","4qO03RMQm88DdpTJcxlglY"
"I'm Worried You'll Forget My Face","Nothing Ends","Time Is Running Out","Favorite Songs","Favorite","QZNWX2029697","4fZ9WSTrbrUB35SPsOHm6Z"
"idontwannabeyouanymore","Billie Eilish","dont smile at me","Favorite Songs","Favorite","USUM71707712","41zXlQxzTi6cGAjpOXyLYH"
"2021","Lauv","2021","Favorite Songs","Favorite","GBKPL2036764","5DlXq40tjFwd3SFp55AfKp"
"Rainbow Connection","Sleeping At Last","Covers, Vol. 2","Favorite Songs","Favorite","USGES1611007","0dDdc2ugBXcZkO00xvR6wZ"
"Sweet Company","Sam Burchfield","Unarmored","Favorite Songs","Favorite","QZ4F61600003","7vTmrJuZQOXkZ0vaojXV2P"
"Above The Clouds Of Pompeii","Bear's Den","Islands","Favorite Songs","Favorite","GB6TW1400047","6ZEQGFl71YQdHpLBsxdJKs"
"Cure","Barcelona","Cure","Favorite Songs","Favorite","TCABR1383914","5CxgHSm7ehpVpiK0dR9mjW"
"Clouds","Before You Exit","Clouds","Favorite Songs","Favorite","USQY51618967","0FiInivN1aBhzKM3UtHM3l"
"Oceans Deep","SONSOFDAY","Fragile People","Favorite Songs","Favorite","USACX0701395","72Ae5nQy02mK67H2ynuZj8"
"Oceans Apart","Secret Nation","Secret Nation","Favorite Songs","Favorite","TCABY1403969","035guKHan7qj7pnRZ5uLIA"
"Love Is War","RUNAGROUND","Love Is War","Favorite Songs","Favorite","GBDMT1500356","3YG8SbrmvFIuIs3tpaeBL5"
"Dusk Till Dawn","Madilyn Bailey","Dusk Till Dawn","Favorite Songs","Favorite","TCADK1726306","1IzfmRGG6aNxu8kFHZfs1F"
"Michelle","Sir Chloe","Party Favors","Favorite Songs","Favorite","QZDA41967250","48rZVgAGm0OlbbxjikCpqm"
"New Place to Begin","khai dreams","New Place to Begin","Favorite Songs","Favorite","QZ9JZ1772781","2MX2Q6LjrZzecewdbDbNoz"
"Moral of the Story","Ashe","Moral of the Story","Favorite Songs","Favorite","USQE91500820","2nC3QhMI9reBIOWutbU3Tj"
"My old story","IU","A flower bookmark","Favorite Songs","Favorite","KRA381207663","2jDnaEpQI6xjahWZzeVyaM"
"I Love You - Acoustic","Woodkid","Run Boy Run","Favorite Songs","Favorite","FR4DI1300270","47sP9utcdOeL1zD6mEeFiU"
"It Won't Kill Ya","The Chainsmokers","Memories...Do Not Open","Favorite Songs","Favorite","USQX91700584","5xhJmd0I15jFcEdqxfCzKk"
"2 Nocturnes, Op. 55: I. Andante","Frédéric Chopin","Chopin: Complete Nocturnes","Favorite Songs","Favorite","FRZ149738050","1q6of8MARmRLg8xIjexscd"
"You","Maryon King","You","Favorite Songs","Favorite","QMPKX1719198","7z2mVp5MK6jcqncFkYPcNZ"
"YOU","Morgan Saint","17 HERO","Favorite Songs","Favorite","USSM11700098","1DjjssAfCcElLoXDVRLq0Q"
"Taste My Sad","Bearface","Moosetape, Vol. 1","Favorite Songs","Favorite","FR10S1643051","5ri1eHrCedAEkz0XgNIrhG"
"Late Night","ODESZA","A Moment Apart","Favorite Songs","Favorite","GBCFB1700082","5Nu5Uyoauauy9LFePYL1Z3"
"The Night We Met","Lord Huron","Strange Trails","Favorite Songs","Favorite","US53Q1200103","0QZ5yyl6B6utIWkxeBDxQN"
"i'm so tired...","Lauv","~how i'm feeling~","Favorite Songs","Favorite","GBKPL1933763","4vjpLMyL3ZO6aphdYr8XYw"
"False Confidence","Noah Kahan","Busyhead","Favorite Songs","Favorite","USUM71814497","7nDFTHHwfe32a8qdp9XqPy"
"SEATTLE","Sam Kim","I AM SAM","Favorite Songs","Favorite","KRB471600372","2zQ1c7TT5grIoU6wKMiXdg"
"Dead Hearts","Stars","The Five Ghosts","Favorite Songs","Favorite","USVR91060101","3yrVRdwCbEeKODZgG2mVZX"
"つじつま合わせに生まれた僕等","amazarashi","メッセージボトル","Favorite Songs","Favorite","JPD860900740","362OTSGKRtnY8IsyD6pknP"
"A Day With You","Amiel Sol","A Day With You","Favorite Songs","Favorite","QZHN42036579","59lcU3fi8Grgcgnil8cp9L"
"you","amies","you","Favorite Songs","Favorite","QZHN72053555","4ssAHJYNFT3SW8Hv9bh6oL"
"You Don't Want Me Anymore","Snøw","You Don't Want Me Anymore","Favorite Songs","Favorite","SE6A91908704","0K4gxQ2u3545b0GAu85ObO"
"Alligator","Of Monsters and Men","FEVER DREAM","Favorite Songs","Favorite","USUG11901210","797qMUoU74C6xc45n2vAMK"
"Heathrow","Catfish and the Bottlemen","The Ride","Favorite Songs","Favorite","GBUM71600829","2X6aiq2KyWsyhh7c3vzeyp"
"Gravity","TAEYEON","Purpose - The 2nd Album","Favorite Songs","Favorite","KRA301900509","1fzLM4SRonzoHm723a2mP5"
"Where's My Love","SYML","SYML","Favorite Songs","Favorite","CAN111700009","2NeM9rfWo70KQej9GxeaoL"
"It's Not Living (If It's Not With You)","The 1975","A Brief Inquiry Into Online Relationships","Favorite Songs","Favorite","GBK3W1800838","3TgMcrV32NUKjEG2ujn9eh"
"Be My Mistake","The 1975","A Brief Inquiry Into Online Relationships","Favorite Songs","Favorite","GBK3W1800833","18UsAG7SfOQ5sxJEdjAMH0"
"O","Coldplay","Ghost Stories","Favorite Songs","Favorite","GBAYE1400533","77yuzxCS3csrgTPSW0pvyk"
"A Sky Full of Stars","Coldplay","Ghost Stories","Favorite Songs","Favorite","GBAYE1400217","0FDzzruyVECATHXKHFs9eJ"
"Oceans","Coldplay","Ghost Stories","Favorite Songs","Favorite","GBAYE1400216","2u4uhtETtcULnkBfFHSnDX"
"Another's Arms","Coldplay","Ghost Stories","Favorite Songs","Favorite","GBAYE1400215","22uzF19LxQW87kOVkR79Fq"
"Midnight","Coldplay","Ghost Stories","Favorite Songs","Favorite","GBAYE1400202","4GKk1uNzpxIptBuaY97Dkj"
"Always in My Head","Coldplay","Ghost Stories","Favorite Songs","Favorite","GBAYE1400212","0FMjqbY3aWo1QDbo3GwXib"
"Magic","Coldplay","Ghost Stories","Favorite Songs","Favorite","GBAYE1400206","23khhseCLQqVMCIT1WMAns"
"Ink","Coldplay","Ghost Stories","Favorite Songs","Favorite","GBAYE1400213","6c6W25YoDGjTq3qSPOga5t"
"True Love","Coldplay","Ghost Stories","Favorite Songs","Favorite","GBAYE1400214","0fQuzbQNLcD1ofo7B2NcFI"
"(They Long to Be) Close to You (feat. Michael Bolton)","Richard Clayderman","Fathers and Daughters (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","USLS51554402","7wnmuRs9Yk4oq1OGrhhXIV"
"The Good Side","Troye Sivan","Bloom","Favorite Songs","Favorite","AUUM71701256","4qAHuJq5T4Q97EQZG47H0P"
"Trampoline","SHAED","MELT","Favorite Songs","Favorite","QZ47A1800201","0lsRatBUs9HNIZAmoGABzk"
"La Lune","Billie Marten","Writing of Blues and Yellows (Deluxe Version)","Favorite Songs","Favorite","GBARL1600328","0DwaOWI1kC2s98qLj0LTDd"
"West","Sleeping At Last","Atlas: I","Favorite Songs","Favorite","USGES1480025","6euUjTQwdyS7Kkj6QoFKRt"
"Roses - Imanbek Remix","SAINt JHN","Roses (Imanbek Remix)","Favorite Songs","Favorite","RUB421901499","24Yi9hE78yPEbZ4kxyoXAI"
"Monday Loop","Tomppabeats","Harbor","Favorite Songs","Favorite","DEQ121639507","5qC17VMNoZdF2gAw28FtsV"
"Hurts Like Hell","Fleurie","Hurts Like Hell","Favorite Songs","Favorite","QMF921550107","10Odr9VhsEYfpd3hjoNyl3"
"Stay With Me","Black English","No","Favorite Songs","Favorite","CAAA11308902","5irRPulPu8o4BTZbo1vbhq"
"memories",".anxious.","3am EP","Favorite Songs","Favorite","CA5KR1572149","4kPmbjbr2oUHJmaDXEDno4"
"I'm sad","Bassti","Winter - EP","Favorite Songs","Favorite","DEQ121749203","5Bhlgul8adzYbmy4aLRy6y"
"another perspective","Idealism","hiraeth","Favorite Songs","Favorite","QM42K1612580","4jNUYBuUipHefrBzXLbUdJ"
"Say Love","James TW","Chapters","Favorite Songs","Favorite","USUM71803151","49PVaqTTK6qn8Ku5BIR8Gt"
"you’re a ghost","White Shinobi","Broken Feelings","Favorite Songs","Favorite","QM24S1705110","6tr6SUyZxcaXklWA0Gs0yq"
"JTBC Begin Again3 - Episode2 - One Love - Sorrento ‘Fishing village’ busking Version","Kim Feel","JTBC Begin Again3 - Episode2 - One Love","Favorite Songs","Favorite","QZEKE1911985","2OFF9PAuGci7mOYxXPtLIy"
"The Girl I Haven't Met","Kudasaibeats","Falling","Favorite Songs","Favorite","QZAPG1741641","00iwQgjIgoGO94BRBDyClo"
"owo","KIDD FLYP","owo","Favorite Songs","Favorite","QZNN22012683","4Pwp2wkLEV9sGJEXZvelKr"
"Closer","Lemaitre","Chapter One","Favorite Songs","Favorite","USUM71508235","3h5IIiL9vK5aR0DZO6jD7D"
"Small World","Jack Stauber","HiLo","Favorite Songs","Favorite","QM4DW1869517","7fMLl1RrqGd1l0rrXRIz9U"
"Bullets","Archive","Controlling Crowds (Parts I-III)","Favorite Songs","Favorite","GBEYA0800112","5zxJ3BZyd6BK2gX4b2RnB4"
"cowboy like me","Taylor Swift","evermore","Favorite Songs","Favorite","USUG12004714","1XjHRolIXL2M1EEOUsGGR4"
"Never Can I Ever","In.Drip.","nosebleeds","Favorite Songs","Favorite","USLGZ2000095","4jU150MRZwvXKnDvwvxB4p"
"ポラリス","Aimer","After Dark","Favorite Songs","Favorite","JPN101300881","2l3B7RgXnNlaLVBoGhcWGi"
"Ref:rain","Aimer","Penny Rain","Favorite Songs","Favorite","JPU901704133","0GtSbIUxOgrIcQSp10fuhx"
"Halloween","Phoebe Bridgers","Punisher","Favorite Songs","Favorite","USJ5G2020005","7FQ2JgfdkBcBb3BEbu8Axf"
"No Right To Love You","Rhys Lewis","Things I Chose To Remember","Favorite Songs","Favorite","GBUM71905259","3ZY1udNwoRQ8yHm3sYY4XN"
"Missing Peace","JJ Heller","Missing Peace","Favorite Songs","Favorite","QMAHL2000001","5fTJGZ6k0zokfh5KLfe0sm"
"Down","Jack Curley","Tomorrow EP","Favorite Songs","Favorite","DEQR42001376","3uHWdehoLyQZJECjiTI4a6"
"Best of You (with Elle King)","Andy Grammer","Best of You (with Elle King)","Favorite Songs","Favorite","QMRSZ2000146","1RcA6iOi510XKkKMK13zsf"
"if we never met (feat. Kelsea Ballerini)","John K","if we never met (feat. Kelsea Ballerini)","Favorite Songs","Favorite","USSM12000198","0x0yttxnfoqFUYL1UB3Ckh"
"How To Be Lonely","Rita Ora","How To Be Lonely","Favorite Songs","Favorite","GBAHS1901248","7ydjUPZFQVYZ54NLmoISfG"
"Crying Over You","The Band CAMINO","Crying Over You","Favorite Songs","Favorite","USAT22004621","53bCcVMGv0S2aIYvfju2Tt"
"Paper Planes","Elina","Paper Planes","Favorite Songs","Favorite","SE5262000105","5GzgEC6pWf1USZsCtkG8yC"
"Wait for You","Tom Walker","Wait for You","Favorite Songs","Favorite","GBARL2000604","1prpauWvVGDE0xJAvaDRQt"
"We Belong","Dove Cameron","We Belong","Favorite Songs","Favorite","USQX92003041","6Z0sHILAQuUsmZQ7pMe90N"
"I Need You To Hate Me","JC Stewart","I Need You To Hate Me","Favorite Songs","Favorite","GBAHT2000241","1zY6ekSJ8VI6tZ6nBqoo7g"
"IDK You Yet","Alexander 23","IDK You Yet","Favorite Songs","Favorite","USUM72007268","47EWMOElkkbMp5m9SBkx7d"
"Happy Now","Zedd","Happy Now","Favorite Songs","Favorite","USUM71808663","4keoy2fqgwGnbWlm3ZVZFa"
"I'd Rather Be With You [Radio Edit]","Joshua Radin","Simple Times (Reissue)","Favorite Songs","Favorite","USQE91000008","0tiJ44M85rqHU0a5RMQN8x"
"Grapevine Valentine","Kingsfoil","A Beating Heart Is a Bleeding Heart","Favorite Songs","Favorite","QMM8G1200005","0r2vPIbVws8qESpX99Ii4H"
"I Like Me Better","Lauv","I Like Me Better","Favorite Songs","Favorite","GBWWP1702907","1wjzFQodRWrPcQ0AnYnvQ9"
"Jane","Roy Blair","Cat Heaven","Favorite Songs","Favorite","USUYG1169286","34hUQ9ahInlX8q5T4Baeg1"
"Maybe","SOAK","Grim Town","Favorite Songs","Favorite","GBCVZ1800112","1YeiQ89ozDpyfYydmiFGep"
"Human","Rag'n'Bone Man","Human (Deluxe)","Favorite Songs","Favorite","GBARL1600665","58zsLZPvfflaiIbNWoA22O"
"Talking to the Moon","Bruno Mars","Doo-Wops & Hooligans","Favorite Songs","Favorite","USAT21001985","161DnLWsx1i3u1JT05lzqU"
"far away from here","yaeow","my first songs","Favorite Songs","Favorite","SE5751902219","6ImJSZMD21XpfOycdUVyDV"
"lonely again","gnash","if","Favorite Songs","Favorite","USAT21700417","6hmFoos3ZUupYAyCCSuUfW"
"Lines of the Broken","DROELOE","Lines of the Broken","Favorite Songs","Favorite","NLRD51632011","4AqH4V7PEC5BTK29FVmXQd"
"don't worry about me","killedmyself","Backyard Cemetery II","Favorite Songs","Favorite","QM42K1704498","1Kz5Mgnf6fpjlrx2Rsjy0x"
"Lover's Game","Geographer","Myth","Favorite Songs","Favorite","US8JX1200096","6NXfT9W9n9clyL1KuXPNQO"
"With Me","Sum 41","Underclass Hero","Favorite Songs","Favorite","USUM70740344","1OTvWduKQV0MQd2gnGM9He"
"Coffee (feat. Marc E. Bassy)","Quinn XCII","A Letter To My Younger Self","Favorite Songs","Favorite","USSM12002051","4CxmynXhw78QefruycvxG8"
"all the kids are depressed","Jeremy Zucker","glisten","Favorite Songs","Favorite","USUM71804195","75ls0gurX68lUmMjE7QcsE"
"Free Loop","Daniel Powter","Daniel Powter","Favorite Songs","Favorite","USWB10401973","2rtSjGAgCkHL5mKboZMVgD"
"Death with Dignity","Sufjan Stevens","Carrie & Lowell","Favorite Songs","Favorite","US64G1509901","4fpEuKIzTLmMJnYwFU0oqr"
"Sorry","Halsey","hopeless fountain kingdom (Deluxe)","Favorite Songs","Favorite","USUM71702216","44n97yHySt0Z9rqPaXgjCK"
"Din Don Dan","Ryu*","Din Don Dan","Favorite Songs","Favorite","JPC231500238","4Cd0DgLTtj0ACipxzHQiCg"
"World Order","World Order","World Order","Favorite Songs","Favorite","JPZ920913374","1LPojM5AKaVXEj8FaPS4oN"
"HAVE A NICE DAY","World Order","HAVE A NICE DAY","Favorite Songs","Favorite","TCJPE1653201","584Om3nCZMNItTCpTsfNZH"
"that won't save us","Against The Current","that won't save us","Favorite Songs","Favorite","USAT22006353","4sB0hXFEmjZJR09ilZWsQw"
"GIANTS","True Damage","GIANTS","Favorite Songs","Favorite","QZH6S1900251","5C0ivQMxes2lWuOANhvVAm"
"POP/STARS","K/DA","POP/STARS","Favorite Songs","Favorite","NLRD51859885","5sbooPcNgIE22DwO0VNGUJ"
"THE BADDEST","K/DA","THE BADDEST","Favorite Songs","Favorite","QZH6S1900262","2V4Fx72svQRxrFvNT1eq5f"
"Confessions (feat. Cozi Zuehlsdorff)","Myrne","Confessions (feat. Cozi Zuehlsdorff)","Favorite Songs","Favorite","CA6D21700238","4YquSHfespouUSHEG6ipH7"
"When Did I Lose It All?","Pale Waves","My Mind Makes Noises","Favorite Songs","Favorite","GBK3W1800786","2DYvkEHX3euVePxMuTCdz6"
"Mr. Sandman - Piano and Violin Version","SYML","Mr. Sandman","Favorite Songs","Favorite","CAN111700077","4dUN1lZSnUYC5lwyYC1Ypn"
"Mr. Sandman","SYML","Mr. Sandman","Favorite Songs","Favorite","CAN111700076","1ibQiWl2i50MGt3SpRuE0D"
"The Fighter","Gym Class Heroes","The Papercut Chronicles II","Favorite Songs","Favorite","USAT21102798","77ZdAoTHYoF6Umo76HFD4m"
"Life Goes On (feat. Oh Land)","Gym Class Heroes","The Papercut Chronicles II","Favorite Songs","Favorite","USAT21102796","3nUszV5llWoAaYBjIh7YQa"
"Ass Back Home (feat. Neon Hitch)","Gym Class Heroes","The Papercut Chronicles II","Favorite Songs","Favorite","USAT21102797","3bfqkspKABT4pPicm6wC9F"
"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes","The Papercut Chronicles II","Favorite Songs","Favorite","USAT21101071","0qOnSQQF0yzuPWsXrQ9paz"
"僕が死のうと思ったのは (Live at Spotify on Stage in MIDNIGHT SONIC)","amazarashi","amazarashi Live at Spotify on Stage in MIDNIGHT SONIC","Favorite Songs","Favorite","JPU901902879","0A0xEgSYLtYdwfkPI3U91r"
